sacrifice_no;sacrifice_time;sacrifice_price;empty_share;shareholder_1;shareholder_2;shareholder_3;shareholder_4;shareholder_5;shareholder_6;shareholder_7
001;07:00;30000;;Marjy Eschelle1;Georgeta Cino;Ophelia Croyden;Melisandra MacWhirter;Babbie Aspland;Thaxter Kneel;Darn Winders
002;07:15;32000;;Lexine Budgett1;Teodor Murie;Daffi Nerheny;Sallyann Fackrell;Rodolphe Portingale;Farlay Rangell;Augustus Pilkington
003;07:30;34000;;Allin McAneny1;Linnie Kimble;Sybila Garfoot;Schuyler Crowley;;Sol Le Quesne;Antonia Bulley
004;07:45;36000;;Whitney Cardenosa1;Lila Knightly;Kirsten Ianitti;De Conws;Maynord Littrik;Sandor McKinney;Sloan Brouard
005;08:00;38000;;Griswold Kinney1;Flora Colyer;Laure Lutas;Brittaney Ragless;Morlee Leathe;Pippo Bester;Iris Lutzmann
006;08:15;40000;;Algernon Rudgard1;Zilvia Raithbie;Ford Bainbridge;Freddy Kelle;;Enrica Omar;Averil Ollerton
007;08:30;30000;;Torey Marielle1;Yance Cope;Clim Smy;Verina Castiglione;Bartel De Simone;Bernie Heaney;Patric Ranstead
008;08:45;32000;;Dale Bartram1;Ian Dudley;Flossy Thoumas;Tome Marcq;Holt Gossipin;Lorry Franklin;Dwayne Linnane
009;09:00;34000;;Morna Grinaugh1;;Mathilda Gioan;Talia Longson;Chandal Iceton;Sibilla Grevel;Kaitlyn McLaughlan
010;09:15;36000;;Freeland Romans1;Jewelle Pidgley;Binny Ruddick;Hercules Paoletti;Thalia Macartney;Winthrop Swainston;Shamus Longea
011;09:30;38000;;Huey Ankers;Aylmar Loomes;Abigael Lanchbery;Lelia Sterman;Reid Fergie;Aeriell Castellucci;Kally Mance
012;09:45;40000;;Kari Vautier;Kimberli Larchiere;Lindsay Nand;Eugenius Hortop;Ellynn Oldacres;Carolan Gulley;Gothart Hallworth
013;10:00;30000;;Sashenka Truwert;Corby Jarman;Chrissy Cocklin;Andonis Herion;Kordula Plumridege;Lonni Fagan;Melisse Carrabott
014;10:15;32000;;Lishe Gilbee;Fanny Fowlston;Kaycee Shepeard;;Fred Trevena;Gretel Bowditch;Fina Debold
015;10:30;34000;;Christan Ayscough;Clement Gomm;Winny Harman;Tobye Bolte;Codee Jarritt;Alia Tremelling;Duky Fesby
016;10:45;36000;;Georgeta Cino;Dalia Andrzejowski;Roman Bole;Omero Lavington;Hugo Worters;Kipp Cuming;Cybil Smidmor
017;11:00;38000;;Teodor Murie;Janie Bullcock;Palmer Brou;Ivory Marchetti;Melitta Rycraft;;Inger Negro
018;11:15;40000;;Linnie Kimble;Dorena Ickowics;Jania Scala;Kerby Beric;Karmen Shalcras;Honey Brumbye;Whit Von Salzberg
019;11:30;32000;;Lila Knightly;Vail Brosetti;Palmer Brownill;Wolf Prewer;;Pearline Wilman;Magnum Murphey
020;11:45;34000;;Flora Colyer;Ardelia Bugdall;Jenica Elcoux;;Susannah Fellgett;Weylin Clemmow;Xavier Parsons
021;12:00;36000;;Zilvia Raithbie;Stefanie Louden;Marwin Simukov;Rodolphe Portingale;Cordy Aird;Teri Turpin;Claudina Dominey
022;12:15;38000;;Yance Cope;Rahel Stallebrass;Winslow Brigden;Shawna Mattam;Felix Olfert;Brock Brezlaw;Sutton Sein
023;12:30;40000;;Ian Dudley;;Emmery Mewburn;Maynord Littrik;;Gaston Grimoldby;Carroll Andryushchenko
024;12:45;30000;;Lilith Capell;Panchito Amthor;Vikky Larkin;Morlee Leathe;Farlay Rangell;Sandor Phoebe;
025;13:00;32000;;Jewelle Pidgley;Hanan Hearne;Shirlee Moulden;;Sol Le Quesne;Darn Winders;Pren Oldale
026;13:15;34000;;Aylmar Loomes;Carr Allaker;Elset Coultous;Bartel De Simone;Sandor McKinney;Augustus Pilkington;Betty Fawltey
027;13:30;36000;;Kimberli Larchiere;Charil Dyball;Wanda Skade;Holt Gossipin;Pippo Bester;Antonia Bulley;Sidonia Battelle
028;13:45;38000;;Corby Jarman;Ophelia Croyden;Bert Elwyn;Chandal Iceton;Enrica Omar;Sloan Brouard;Wally Howkins
029;14:00;40000;;Fanny Fowlston;Daffi Nerheny;Jacob Klaessen;Thalia Macartney;Bernie Heaney;Iris Lutzmann;Dagny Dunmore
030;14:15;30000;;Clement Gomm;Sybila Garfoot;;Reid Fergie;Lorry Franklin;Averil Ollerton;My Lerego
031;14:30;32000;;Dalia Andrzejowski;Kirsten Ianitti;Elijah Coryndon;Ellynn Oldacres;Sibilla Grevel;Patric Ranstead;Craig Bramont
032;14:45;34000;;;Laure Lutas;Nikolai Loynes;Kordula Plumridege;Winthrop Swainston;Dwayne Linnane;Zebulen Arderne
033;15:00;36000;;Dorena Ickowics;Ford Bainbridge;Vernen Thaw;Fred Trevena;Aeriell Castellucci;Kaitlyn McLaughlan;Emylee Ullock
034;15:15;38000;;Vail Brosetti;Clim Smy;Peter Normavell;Codee Jarritt;Carolan Gulley;Shamus Longea;Moises Pace
035;15:30;40000;;Ardelia Bugdall;Flossy Thoumas;Jeremiah Brunone;Hugo Worters;Lonni Fagan;Kally Mance;Maitilde Coneley
036;15:45;32000;;Stefanie Louden;Mathilda Gioan;Clerkclaude Luter;Melitta Rycraft;Gretel Bowditch;Gothart Hallworth;Ilse Watkiss
037;16:00;34000;;Rahel Stallebrass;Binny Ruddick;Bebe Saer;Karmen Shalcras;Alia Tremelling;Melisse Carrabott;Gelya Euler
038;16:15;36000;;Claiborne Stanger;Abigael Lanchbery;Curcio Vittore;Hugh Creyke;Kipp Cuming;Fina Debold;Ezechiel Fiveash
039;16:30;38000;;Panchito Amthor;Lindsay Nand;Taber Bille;Susannah Fellgett;Berri Iacovazzi;Duky Fesby;Hamish Brierly
040;16:45;40000;;Hanan Hearne;Chrissy Cocklin;Aldwin Haddington;Cordy Aird;Honey Brumbye;Cybil Smidmor;Gabriella Kencott
